/ # psql -U postgres
psql (17.8)
Type "help" for help.

postgres=# SELECT * FROM CHARACTERS;

 id  |                     name                      | status  |        species        |                type                |   gender   |                   origin                   |                  location                  |                           image                           | episode_count 
 465 | SEAL Team Rick                                | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/465.jpeg |             1
 466 | SEAL Team Rick                                | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/466.jpeg |             1
 467 | Morphizer-XE Customer Support                 | Alive   | Alien                 |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/467.jpeg |             1
 468 | Morphizer-XE Customer Support                 | Alive   | Alien                 |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/468.jpeg |             1
 469 | Morphizer-XE Customer Support                 | unknown | Alien                 |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/469.jpeg |             1
 470 | Alien Spa Employee                            | Alive   | Alien                 |                                    | Male       | unknown                                    | Alien Day Spa                              | https://rickandmortyapi.com/api/character/avatar/470.jpeg |             1
 471 | Little Voltron                                | Alive   | Robot                 |                                    | Genderless | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/471.jpeg |             1
 472 | Baby Rick                                     | Alive   | Human                 | Clone                              | Male       | Citadel of Ricks                           | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/472.jpeg |             1
 473 | Bartender Morty                               | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/473.jpeg |             1
 474 | Dancer Cowboy Morty                           | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/474.jpeg |             1
 475 | Dancer Morty                                  | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/475.jpeg |             1
 476 | Flower Morty                                  | Alive   | Human                 | Human with a flower in his head    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/476.jpeg |             1
 477 | Hairdresser Rick                              | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/477.jpeg |             1
 478 | Journalist Rick                               | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/478.jpeg |             1
 479 | Private Sector Rick                           | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/479.jpeg |             1
 480 | Purple Morty                                  | Alive   | Alien                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/480.jpeg |             1
 481 | Retired General Rick                          | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/481.jpeg |             1
 482 | Secret Service Rick                           | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/482.jpeg |             1
 483 | Steve Jobs Rick                               | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/483.jpeg |             1
 484 | Sheik Rick                                    | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/484.jpeg |             1
 485 | Modern Rick                                   | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/485.jpeg |             1
 486 | Tan Rick                                      | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/486.jpeg |             1
 487 | Visor Rick                                    | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/487.jpeg |             1
 488 | Colonial Rick                                 | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/488.jpeg |             1
 489 | P-Coat Rick                                   | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/489.jpeg |             1
 490 | Chang                                         | Alive   | Human                 |                                    | Male       | unknown                                    | The Menagerie                              | https://rickandmortyapi.com/api/character/avatar/490.jpeg |             1
 491 | Dr. Eleanor Arroway                           | Alive   | Human                 |                                    | Female     | unknown                                    | The Menagerie                              | https://rickandmortyapi.com/api/character/avatar/491.jpeg |             1
 492 | Varrix                                        | Alive   | Alien                 |                                    | unknown    | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/492.jpeg |             1
 493 | Secretary of the Interior                     | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/493.jpeg |             1
 494 | Crystal Poacher                               | Dead    | Alien                 |                                    | Male       | unknown                                    | Forbodulon Prime                           | https://rickandmortyapi.com/api/character/avatar/494.jpeg |             1
 495 | Crystal Poacher                               | Dead    | Alien                 |                                    | Male       | unknown                                    | Forbodulon Prime                           | https://rickandmortyapi.com/api/character/avatar/495.jpeg |             1
 496 | Crystal Poacher                               | Dead    | Alien                 |                                    | Male       | unknown                                    | Forbodulon Prime                           | https://rickandmortyapi.com/api/character/avatar/496.jpeg |             1
 497 | Hologram Rick                                 | Dead    | Humanoid              | Hologram                           | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/497.jpeg |             1
 498 | Fascist Rick                                  | Dead    | Human                 |                                    | Male       | Earth (Fascist Dimension)                  | Earth (Fascist Dimension)                  | https://rickandmortyapi.com/api/character/avatar/498.jpeg |             1
 499 | Fascist Morty                                 | Dead    | Human                 |                                    | Male       | Earth (Fascist Dimension)                  | Earth (Fascist Dimension)                  | https://rickandmortyapi.com/api/character/avatar/499.jpeg |             1
 500 | Fascist Mr. President                         | Alive   | Human                 |                                    | Male       | Earth (Fascist Dimension)                  | Earth (Fascist Dimension)                  | https://rickandmortyapi.com/api/character/avatar/500.jpeg |             1
 501 | Fascist Rick’s Clone                          | Dead    | Human                 | Clone                              | Male       | Earth (Fascist Dimension)                  | Earth (Fascist Dimension)                  | https://rickandmortyapi.com/api/character/avatar/501.jpeg |             1
 502 | Revolio Clockberg Jr.                         | Dead    | Alien                 | Gear-Person                        | Male       | Earth (Fascist Dimension)                  | Earth (Fascist Dimension)                  | https://rickandmortyapi.com/api/character/avatar/502.jpeg |             1
 503 | Fascist Shrimp Rick                           | Alive   | Animal                | Shrimp                             | Male       | Earth (Fascist Shrimp Dimension)           | Earth (Fascist Shrimp Dimension)           | https://rickandmortyapi.com/api/character/avatar/503.jpeg |             1
 504 | Fascist Shrimp Rick’s Clone                   | Dead    | Animal                | Shrimp                             | Male       | Earth (Fascist Shrimp Dimension)           | Earth (Fascist Shrimp Dimension)           | https://rickandmortyapi.com/api/character/avatar/504.jpeg |             1
 505 | Fascist Shrimp Morty                          | Alive   | Animal                | Shrimp                             | Male       | Earth (Fascist Shrimp Dimension)           | Earth (Fascist Shrimp Dimension)           | https://rickandmortyapi.com/api/character/avatar/505.jpeg |             1
 506 | Fascist Shrimp SS                             | Alive   | Animal                | Shrimp                             | Male       | Earth (Fascist Shrimp Dimension)           | Earth (Fascist Shrimp Dimension)           | https://rickandmortyapi.com/api/character/avatar/506.jpeg |             1
 507 | Fascist Teddy Bear Rick                       | Alive   | Animal                | Teddy Bear                         | Male       | Earth (Fascist Teddy Bear Dimension)       | Earth (Fascist Teddy Bear Dimension)       | https://rickandmortyapi.com/api/character/avatar/507.jpeg |             1
 508 | Fascist Teddy Bear Rick’s Clone               | Dead    | Animal                | Teddy Bear                         | Male       | Earth (Fascist Teddy Bear Dimension)       | Earth (Fascist Teddy Bear Dimension)       | https://rickandmortyapi.com/api/character/avatar/508.jpeg |             1
 509 | Bully                                         | unknown | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/509.jpeg |             1
 510 | Anchorman                                     | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/510.jpeg |             1
 511 | Anchorwoman                                   | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/511.jpeg |             1
 512 | Morty’s Lawyer                                | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/512.jpeg |             1
 513 | Judge                                         | Dead    | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/513.jpeg |             1
 514 | Public Opinion Judge                          | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/514.jpeg |             1
 515 | Caterpillar Mr. Goldenfold                    | Dead    | Animal                | Caterpillar                        | Male       | Earth (Wasp Dimension)                     | Earth (Wasp Dimension)                     | https://rickandmortyapi.com/api/character/avatar/515.jpeg |             1
 516 | Wasp Rick                                     | Alive   | Animal                | Wasp                               | Male       | Earth (Wasp Dimension)                     | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/516.jpeg |             1
 517 | Wasp Rick’s Clone                             | unknown | Animal                | Wasp                               | Male       | Earth (Wasp Dimension)                     | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/517.jpeg |             1
 518 | Wasp Morty                                    | Alive   | Animal                | Wasp                               | Male       | Earth (Wasp Dimension)                     | Earth (Wasp Dimension)                     | https://rickandmortyapi.com/api/character/avatar/518.jpeg |             1
 519 | Wasp Summer                                   | Alive   | Animal                | Wasp                               | Female     | Earth (Wasp Dimension)                     | Earth (Wasp Dimension)                     | https://rickandmortyapi.com/api/character/avatar/519.jpeg |             1
 520 | Wasp Jerry                                    | Alive   | Animal                | Wasp                               | Male       | Earth (Wasp Dimension)                     | Earth (Wasp Dimension)                     | https://rickandmortyapi.com/api/character/avatar/520.jpeg |             1
 521 | Wasp Beth                                     | Alive   | Animal                | Wasp                               | Female     | Earth (Wasp Dimension)                     | Earth (Wasp Dimension)                     | https://rickandmortyapi.com/api/character/avatar/521.jpeg |             1
 522 | Caterpillar Mr. Goldenfold’s Larvae           | Dead    | Animal                | Caterpillar                        | unknown    | Earth (Wasp Dimension)                     | Earth (Wasp Dimension)                     | https://rickandmortyapi.com/api/character/avatar/522.jpeg |             1
 523 | Boglin                                        | unknown | unknown               | Toy                                | unknown    | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/523.jpeg |             1
 524 | Kirkland Brand Mr. Meeseeks                   | unknown | Humanoid              | Meeseeks                           | Male       | Mr. Meeseeks Box                           | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/524.jpeg |             1
 525 | Glootie                                       | Alive   | Alien                 | Monogatron                         | Male       | unknown                                    | Monogatron Mothership                      | https://rickandmortyapi.com/api/character/avatar/525.jpeg |             1
 526 | Danny Publitz                                 | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/526.jpeg |             1
 527 | Mothership Intern                             | Alive   | Alien                 | Monogatron                         | Male       | unknown                                    | Monogatron Mothership                      | https://rickandmortyapi.com/api/character/avatar/527.jpeg |             1
 528 | Monogatron Leader                             | Alive   | Alien                 | Monogatron                         | Male       | unknown                                    | Monogatron Mothership                      | https://rickandmortyapi.com/api/character/avatar/528.jpeg |             1
 529 | Lizard                                        | Dead    | Alien                 | Lizard                             | Male       | Midland Quasar                             | Midland Quasar                             | https://rickandmortyapi.com/api/character/avatar/529.jpeg |             1
 530 | Deliverance                                   | Dead    | Robot                 |                                    | Genderless | Midland Quasar                             | Midland Quasar                             | https://rickandmortyapi.com/api/character/avatar/530.jpeg |             1
 531 | Tony                                          | Dead    | Alien                 |                                    | Male       | unknown                                    | Mount Space Everest                        | https://rickandmortyapi.com/api/character/avatar/531.jpeg |             1
 532 | Tony’s Wife                                   | Dead    | Alien                 |                                    | Female     | Globaflyn                                  | Globaflyn                                  | https://rickandmortyapi.com/api/character/avatar/532.jpeg |             1
 533 | Monogatron Queen                              | Alive   | Alien                 | Monogatron                         | Female     | unknown                                    | Monogatron Mothership                      | https://rickandmortyapi.com/api/character/avatar/533.jpeg |             1
 534 | Tonys Dad                                     | Alive   | Alien                 |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/534.jpeg |             1
 535 | Jeff                                          | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/535.jpeg |             1
 536 | Josiah                                        | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/536.jpeg |             1
 537 | Maggie                                        | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/537.jpeg |             1
 538 | Priest Witherspoon                            | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/538.jpeg |             1
 539 | Richard                                       | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/539.jpeg |             1
 540 | Running Bird                                  | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/540.jpeg |             1
 541 | Secretary at Tonys                            | Alive   | Alien                 |                                    | Female     | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/541.jpeg |             1
 542 | Mountain Sweat Jerry                          | Alive   | Human                 |                                    | Male       | Globaflyn                                  | Globaflyn                                  | https://rickandmortyapi.com/api/character/avatar/542.jpeg |             1
 543 | Vermigurber                                   | Alive   | Alien                 | Fly                                | Male       | unknown                                    | Gorgon Quadrant                            | https://rickandmortyapi.com/api/character/avatar/543.jpeg |             1
 544 | Miles Knightly                                | Dead    | Alien                 |                                    | Male       | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/544.jpeg |             1
 545 | Heist-Con Receptionist                        | Alive   | Alien                 |                                    | Female     | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/545.jpeg |             1
 546 | Angie Flint                                   | Alive   | Human                 | Cyborg                             | Female     | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/546.jpeg |             1
 547 | Glar                                          | Alive   | Alien                 |                                    | Male       | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/547.jpeg |             1
 548 | Truckula                                      | Alive   | Mythological Creature | Vampire                            | Male       | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/548.jpeg |             1
 549 | Snake Arms                                    | Alive   | Alien                 |                                    | Male       | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/549.jpeg |             1
 550 | Double Microwawe                              | Alive   | Humanoid              | Cyborg                             | Male       | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/550.jpeg |             1
 551 | Monitor Lord                                  | Alive   | Alien                 |                                    | Male       | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/551.jpeg |             1
 552 | Key Catcher                                   | Alive   | Alien                 |                                    | Female     | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/552.jpeg |             1
 553 | The Shapeshiftress                            | Alive   | Alien                 | Shapeshifter                       | Female     | unknown                                    | Heist-Con                                  | https://rickandmortyapi.com/api/character/avatar/553.jpeg |             1
 554 | Heistotron                                    | Dead    | Robot                 |                                    | Genderless | Earth (Replacement Dimension)              | Heistotron Base                            | https://rickandmortyapi.com/api/character/avatar/554.jpeg |             1
 555 | Randotron                                     | Dead    | Robot                 |                                    | Genderless | Earth (Replacement Dimension)              | Heistotron Base                            | https://rickandmortyapi.com/api/character/avatar/555.jpeg |             1
 556 | Hephaestus                                    | Alive   | Mythological Creature | God                                | Male       | Mount Olympus                              | Heistotron Base                            | https://rickandmortyapi.com/api/character/avatar/556.jpeg |             1
 557 | Ventriloquiver                                | Alive   | Humanoid              | Dummy                              | Female     | Plitzville Montana                         | Heistotron Base                            | https://rickandmortyapi.com/api/character/avatar/557.jpeg |             1
 558 | Elon Tusk                                     | Alive   | Human                 | Human with tusks                   | Male       | Earth (Tusk Dimension)                     | Heistotron Base                            | https://rickandmortyapi.com/api/character/avatar/558.jpeg |             1
 559 | Gramuflackian Anchorman                       | Dead    | Alien                 | Gramuflackian                      | Male       | Gramuflack                                 | Gramuflack                                 | https://rickandmortyapi.com/api/character/avatar/559.jpeg |             1
 560 | Gramuflackian General                         | Dead    | Alien                 | Gramuflackian                      | Male       | Gramuflack                                 | Gramuflack                                 | https://rickandmortyapi.com/api/character/avatar/560.jpeg |             1
 561 | Netflix Executive                             | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/561.jpeg |             1
 562 | Balthromaw                                    | Alive   | Mythological Creature | Dragon                             | Male       | Draygon                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/562.jpeg |             1
 563 | The Wizard                                    | Dead    | Human                 |                                    | Male       | Draygon                                    | Draygon                                    | https://rickandmortyapi.com/api/character/avatar/563.jpeg |             1
 564 | Talking Cat                                   | Alive   | Animal                |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/564.jpeg |             1
 565 | Debrah                                        | Alive   | Mythological Creature | Dragon                             | Male       | Draygon                                    | Draygon                                    | https://rickandmortyapi.com/api/character/avatar/565.jpeg |             1
 566 | Debrah’s Partner                              | Alive   | Mythological Creature | Dragon                             | Male       | Draygon                                    | Draygon                                    | https://rickandmortyapi.com/api/character/avatar/566.jpeg |             1
 567 | Michael                                       | Alive   | Mythological Creature | Dragon                             | Male       | Draygon                                    | Draygon                                    | https://rickandmortyapi.com/api/character/avatar/567.jpeg |             1
 568 | Slut Dragon                                   | Alive   | Mythological Creature | Dragon                             | Male       | Draygon                                    | Draygon                                    | https://rickandmortyapi.com/api/character/avatar/568.jpeg |             1
 569 | Shadow Jacker                                 | Alive   | Mythological Creature | Dragon                             | Male       | Draygon                                    | Draygon                                    | https://rickandmortyapi.com/api/character/avatar/569.jpeg |             1
 570 | Chachi                                        | Dead    | Alien                 |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/570.jpeg |             1
 571 | Slippy                                        | Alive   | Animal                | Snake                              | Female     | Earth (Replacement Dimension)              | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/571.jpeg |             1
 572 | Robot Snake                                   | unknown | Robot                 | Snake                              | Genderless | Snake Planet                               | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/572.jpeg |             1
 573 | Snake Hitler                                  | Dead    | Animal                | Snake                              | Male       | Snake Planet                               | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/573.jpeg |             1
 574 | Snake Lincoln                                 | Dead    | Animal                | Snake                              | Male       | Snake Planet                               | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/574.jpeg |             1
 575 | Snake Resistance Robot                        | Dead    | Robot                 | Human-Snake hybrid                 | Genderless | Snake Planet                               | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/575.jpeg |             1
 576 | Snake Linguist                                | unknown | Animal                | Snake                              | Male       | Snake Planet                               | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/576.jpeg |             1
 577 | Snake Terminator                              | unknown | Robot                 | Snake                              | Male       | Snake Planet                               | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/577.jpeg |             1
 578 | Snake Soldier                                 | Alive   | Animal                | Snake                              | Male       | Snake Planet                               | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/578.jpeg |             1
 579 | Snake with Legs                               | Alive   | Animal                | Snake                              | Male       | Snake Planet                               | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/579.jpeg |             1
 580 | Secret Service Snake                          | Alive   | Animal                | Snake                              | Male       | Snake Planet                               | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/580.jpeg |             1
(580 rows)
